Sylheti,English
বেগুনি ,Purple
গোলাপি ,Pink
আকাশী ,Sky blue
ধূসর ,Gray
মেরুন ,Maroon
কমলা,Orange
খয়েরি ,Brown
কানিবক ,Pond heron
ধোপা ,Washerman
কামার ,Blacksmith
দিনমজুর ,Day laborer
লটকি ,Latkan fruit
খাড়া,Vertical
ফেখ,Mud
লম্বা,Tall
খরব,Situation
ঘুষা,Anger
ডুমুর,Fig
ফাল্লার,Jumping
প্রথমের,First
কাপড়,Clothes
বাংলা ভাষা,Bengali language
খাইল,Next
ময় মুরুব্বির,Respected elder
নোয়াখালির,Of Noakhali
লাটসাহেবের,Aristocrat
আগুন,Fire
খরমোচারি,Artisan
ভাংগা,Broken
প্রাসাদের,Palace’s
খরমোচারির,Artisan’s
হুকনা,Thin
এসব,Daily
হারি সময়,Will ride
থাখার,Walking
ইসকুল'র,School’s
গালাত,Near
উনদাল,Stove
কইবে,Will say
ছুরি,Steal
গল্লাসো,In the glass
খবরদার ,Beware
কুত্তার,Dog’s
খান্দে,Shoulder
গাইল,Cheek
গালে,On the cheek
তেড়া,Crooked
ছাচিয়া,Cut
বুইছো,Understand
বুইছো,Understood
প্রজন্মর,Generation’s
গালাত,Near
বাবা-মা,Parents
জাউকা ,Go
ডাকবা,Will call
লাগছে,Felt
ঠান্ডা,Cold
যাউকগা ,Let's go
হন,There
উল্টা পাল্টা,Upside down
উল্টা ,Reverse
পাল্টা,Reverse
হুকনা,Thin
শুক্রবার,Friday
জিন্দেগি ,Life
আইন্ধাইর,Darkness
হখল,Everyone
এখলগে,Together
হুতি,Lying
চলো,Let's go
ঘুড্ডি,Kite
মোরে,Me
ছোটকাল,In childhood
আইজ,Today
একবারেও,Completely
করইন,Do
ভালা,Good
কিতাত,Where
পড়ছি,Studying
খাইতে,Eat
পড়ছি,Studying
এগু,One
আফনে,You
ইচা,Shrimp
করার,Doing
বই,Book
সরকারি,Government
কর্মকর্তা,Officer
আছিলো,Was
ভাই,Brother
ওলা,Like this
কিন্তু,But
থাকি,Live
মায়াত,In love
পরছি,Fell
চোউখের,Eyes
হাসি,Smile
যে,A lot
পরিবাররে,Family
ভালা ফায়,Loves
লাগি,For
হকলতা,Everything
করতাম,Do
ফারি,Can
চুলগুন,The hair
কাজল,Kohl
দিলে,Gave
থাকলে,If stayed
অনো,Here
খুশি,Happy here
গাড়ি ওগু,The car
গতকাইল,Yesterday
চুরি,Theft
বাসাত,At home
অই গেছে,Has happened
সহজ,Easy
ভাষায়,In language
মাত,Talk
মাতা,To say
উচিৎ,Should
লগে,With
আছি,Am
বিদেশ,Abroad
থাকোইন,Stays
বইন,Sister
বড়,Big
নাম,Name
ঘুরাত,To roam
যাওয়া,To go
স্বপ্ন,Dream
ভুলতাম,Will forget
না,Not
জীবনের,Of life
আলো,Light
গ্রামো,In the village
আগে,Before
টুপি,Cap
শিয়াল,Fox
যাইতোআছিলো,Was going
গান,Song
ফারতায়,Will be able
ওখন,Now
ঘুমায়,Sleeps
বেলা,Time
উপহার,Gift
জন্মদিন,Birthday
ঘড়িত,In the clock
ঘড়ি,Watch
আইজ,Today
দুপুর বেলা,In the afternoon
দাওয়াত,Invitation
তারিখ,Date
কতো,How many
ভালা কাম,Ethical work
ইশারা-ইংগিত,Gesture
ফায়-ফরিস্কার,Expectation
বিশেষ ,Special
বর্ষার,Of the monsoon
করই,Hot
দেখা,Amazing
দাগ,Mark
হামানি,Entrance
আফত্তি,Prohibition
চিন্তা,Thought
ফাখাইয়া,Turning
ফিরিয়া,Returning
ভুলিয়া ,Forgot
জিকানি,Ask
গেছো,Went
আইছইন,Has come
সৎ,Honest
উদাহরণ ,Example
পথ,Method
মেলা,Fair
সুন্দর ,Aesthetic
সালিশ,Judgment
লম্বা হায়াত,Longevity
ফায়-ফরিস্কার,Cleanliness
ঠেসাঠেসি ,Competition
দিয়া,By
আখতা,Suddenly
চাইন না,China
মাত্তা,To say
শনিবার ,Saturday
রইব্বার,Sunday
হকলসময়,Continuous
রাজা,King
ভইস,Buffalo
পাইছো,Has received
হারাইছো,Has lost
উভয়ই,Both
দুটো,Two
যখন,When
শান্তি,Punishment
খালি,Empty
কৃতজ্ঞ,Grateful
হইন,Be
অবশ্যই ,Certainly
ইন্দুস্তানি,Hindustani
ডাখ,Call
লাড়া,Response
দিমু,Will give
মিশাইলে,In combination
বানাইল,Created
অইছে,Has happened
হিন্দি-উর্দূর,Hindi-Urdu
লাখান,Like
লাগে,Feels
লাগবো,Will feel
শালিক পাখি,Mynah bird
কাউয়্যা,Crow
মোল্লা,Maulana
উরির বিছ,Bean seed
বাড়ি,Home
আইবে,Will come
সূর্যাস্তের,Sunset
বিয়ানবালা,In the morning
পেক,Mud
সজনি,Drumstick (tree)
ডাইল,Branch
মাটির ঘর,Mud house
মাটির,Clay
মাছরাঙ্গা,Kingfisher
হাওয়ার মিটাই,Sweets in the air
চাও,Want
যাও,Go
তাড়াতাড়ি,Quickly
খিয়াল,Attention
এর্বাদে,Afterward
থাকা,Stay
কান্দের,Crying
আকাশের,Of the sky
চাইতে,To ask for
গেছি,Going
দোকানে,In the shop
ওউ রকম ,Like this
কইলাম ,I said
কইলো ,He/she said
করাইবা ,Will do
ফুরুত্তা ,Child
থাকি,From
আর,More
তারারে ,To them
পারবায়,Will be able
জানো,You know
নাইকল,Coconut
মাত্তা,To say
পুশকুনি,In the pond
করো,Do
বাবাকে,To father
টিলা,Hill
হাশরের,Of the Doomsday
খাউয়ানি,Cough
আইছো,You have come
বেদ-না,Pain
সিদা,Straight
চাষি,Farmer
অউসধ,Medicine
ম্যাচকাঠি,Matchstick
খামলা,Worker
জমি,Land
স্টাম্প,Stamp
পেপারো,On the paper
ভাগো,Run
ফুটন্ত,Boiling
টাটকা ,Bright red
জামাই পক্ষ ,Groom's party
জিদ,Demand
